	SScmap	SSfisher	SSlincs	SSlincs_Norm	SSpearson_corr	SSspearman_corr	SSzhang	SSzhang_Norm	Rank	Rank	Rank	Rank	Rank	Rank	Rank	Rank	sumrank								
S13S20	0.001256889	-0.849261463	-0.485924526	-1.297398745	-0.090538982	0.049808429	-73.88916256	-0.076429746	185	266	481	483	312	177	158	162	1								
S10S25	-0.963477699	-1.209025052	0.012393751	-0.090566494	-0.107257409	-0.137708565	-74.35053763	-0.005419936	344	302	197	259	336	365	159	153	0.952836485								
S4S11	1.60946126	-1.526610437	-0.333509421	-0.95081402	-0.07405679	0.038916256	-75.22068966	-0.347530415	11	341	420	423	297	193	160	206	1								
S7S10	-0.454864404	2.396886047	-0.013493701	0.037654535	-0.013873085	-0.03968254	-75.98148148	-0.415741953	318	40	238	184	219	271	161	217	0.159616189								
S12S9	-0.241072274	-0.625000031	0.036415787	0.003586402	0.109909674	0.068418172	-76.37931034	-0.462492704	272	247	161	201	91	152	162	223	0.04955533								
S21	0.178883658	-1.251988639	-0.33631489	-0.974239809	-0.0454439	0.081007115	-77.84482759	0.736830303	134	304	421	430	265	139	163	61	1								
S4S23	-0.508133971	-4.605170186	-0.33016599	-0.876053469	-0.108121031	-0.022988506	-77.9408867	0.242004088	333	466	418	416	337	258	164	121	1								
S5S29	-1.179520137	-2.562347572	0.065556417	0.077100074	-0.094108733	0.021367521	-78.85449735	-0.223827827	368	422	127	164	316	215	165	186	0.351913241								
S14S21	1.254323788	-1.283490748	-0.122861416	-0.171283185	-0.001595734	0.139901478	-79.06666667	-0.973806064	55	311	372	289	203	98	166	305	1								
S4S13	1.607363127	-4.605170186	0.005123563	0.049541687	0.10820165	0.009359606	-79.63678161	0.209109139	12	466	207	176	94	227	167	125	0.055133598								
S4S6	0.120323655	-1.298802147	-0.146007199	-0.15219089	-0.074976154	0.045812808	-80.20229885	0.152354635	145	313	382	284	298	185	168	134	1								
S15S16	0.059817864	-1.260052693	0.082480542	-0.013768206	0.04508716	0.078976641	-81.16129032	-0.297207033	165	306	106	208	146	141.5	169	199	0.032631813								
S6S7	0.199842246	2.681122642	0.014814348	0.168085842	0.105345931	0.061660562	-82.05555556	-0.358098291	126	9	193	133	98	165	170	209	0.033584502								
S3S26	1.199302252	2.53449297	-0.006887617	0.061527481	0.075601146	0.121182266	-82.7908046	-0.290225776	65	21	226	167	122	109	171	196	0.053692278								
S12S14	0.007316387	-0.711812999	-0.077761791	-0.110689951	0.021115688	0.163546798	-83.53333333	0.017617081	181	254	328	268	174	83	172	150	0.501769494								
S4	1.406664106	-1.156090821	-0.246969835	-0.615005593	-0.002732417	-0.073891626	-83.64285714	0.386382535	28	298	399	385	206	301	173	99	1								
S2S18	0.352306827	2.414563429	-0.021589384	0.176432007	0.079283898	0.168965517	-84.42758621	-0.859892262	93	36	249	129	118	82	174	289	0.234773053								
S13S8	-0.072894686	0.534572147	0.357468506	0.973565427	0.051296167	-0.058565955	-85.1453202	-0.259650723	224	185	40	38	140	291	175	190	0.202147622								
S7S19	-1.12952181	-4.605170186	-0.31194508	-0.859618225	-0.176316703	-0.156288156	-86.92592593	-0.170441922	357	466	413	414	407	380.5	176	178	1								
S12S3	-0.12591687	2.391736492	-0.035920183	-0.228031714	-0.010019593	-0.069950739	-87.09195402	-0.264496851	246	41	274	308	213	299	177	192	0.344005583								
S16S1	-0.00280112	2.235848279	0.138738802	0.572430692	0.134071462	0.133990148	-87.19770115	0.435983149	186	64	74	70	72	102	178	94	0.010971225								
S17S32	-0.019558536	2.23539467	0.379497379	1.062644259	0.131410077	-0.005418719	-87.31034483	-0.469518595	195	65	33	29	75	239	179	226	0.075101498								
S2	0.27874221	-0.997449194	-0.29432545	-0.819142531	-0.020110721	-0.113300493	-87.87192118	-0.416744849	106	281	406	407	232	347	180	218	1								
S6S13	-1.085707434	1.93558399	0.147226266	0.239752241	0.034826343	-0.125889436	-88.81280788	-0.748782103	352	88	72	113	156	357	181	265	0.805825538								
S12S10	-0.433871877	2.263273211	0.298723199	0.826144627	0.148795567	0.264039409	-88.88045977	0.219366284	314	59	55	54	64	34	182	124	0.014645005								
S20	0.151515152	1.172414411	-0.131932706	-0.290581489	0.0303519	0.062881563	-89.23280423	0.166753231	139	132	375	326	165	163	183	133	0.834567425								
S7S29	-1.526237047	-0.510768547	0.067979936	0.246576252	0.025260128	-0.118437118	-89.98941799	-0.003818169	455	230	122	111	168	354	184	151	0.17473239								
S6S21	0.472713444	-4.605170186	-0.214633829	-0.310549214	-0.241379562	-0.189255189	-90.20634921	0.166841132	85	466	391	335	459	408	185	132	1								
S10S15	-1.086679001	-1.101770849	-0.001406666	0.028104174	-0.157182231	-0.107452725	-90.28602151	-0.191329301	353	290	218	190	390	343	186	184	1								
S13	0.237474844	-2.358711608	-0.066539877	-0.068878041	-0.092708217	-0.264346764	-90.39417989	-0.641787392	117	403	320	244	314	459	187	248	1								
S17S29	0.165219016	2.567186145	0.042711916	0.265650284	0.100468503	-0.035960591	-90.42758621	-0.81461347	137	15	151	106	102	267	188	278	0.186007291								
S10	1.299688537	-0.604076395	-0.051760692	-0.095309044	-0.000422459	-0.086080586	-90.65079365	-0.744303203	49	242	296	262	201	317	189	264	0.408899674								
S7S8	0.253998659	0.48026174	0.394799131	1.045045398	0.025864427	-0.019157088	-91.25862069	-1.210021325	112	189	27	30	167	256	190	342	0.279640899								
S10S14	-1.114601647	1.196633565	-0.0445382	-0.047712707	-0.183790383	-0.178197998	-91.30752688	-0.129166757	355	129	285	229	417	402	191	171	1								
S9S12	-0.069388457	-1.926407842	0.092704534	0.037721702	0.044363203	-0.07044335	-91.4091954	-0.366632717	222	375	98	183	148	300	192	211	0.293757335								
S13S17	-0.109535832	-1.32353701	-0.39538012	-1.026834676	-0.071364923	-0.112332112	-91.44973545	-0.65035085	243	316	452	442	294	345	193	251	1								
S13S9	-1.235319895	-1.846029554	-0.014066078	-0.143919976	-0.064017679	-0.063492063	-91.66666667	-0.355929138	377	368	240	280	284	294	194	208	0.260222697								
S4S12	1.715223597	1.962823884	0.038309366	0.039261827	-0.034531343	-0.084729064	-91.73103448	0.125126364	3	85	158	182	250	316	195	137	0.401221029								
S4S9	1.61443404	-4.605170186	-0.060576427	-0.069689195	0.044871367	0.172906404	-92.17931034	0.31469495	10	466	310	246	147	78	196	110	0.357627869								
S17S27	0.014993481	2.313044346	0.391177266	1.004781414	0.142946203	0.009852217	-92.24137931	-0.50903336	180	48	28	35	66	226	197	232	0.062833189								
S13S23	-1.247567444	-4.605170186	-0.065455953	-0.31348135	-0.121771159	-0.076312576	-92.50793651	-0.466589104	381	466	319	337	357	304	198	225	0.834200581								
S11S1	-0.499058912	-1.829614096	0.044152401	-0.025179556	0.013016524	0.068418172	-93.091133	0.32343851	330	364	150	216	191	152	199	108	0.04092453								
S7S20	-1.337163284	1.158710218	0.077564766	0.17139916	-0.127574748	-0.221127531	-93.51970443	-1.051040519	414	134	109	131	363	437	200	317	1								
S15S10	-0.222491758	2.348521968	0.32828777	1.000224376	0.151603427	0.093596059	-94.87126437	0.041802798	266	44	49	36	61	129	201	146	0.026572813								
S13S29	-0.174561973	0.718698058	0.077435771	0.030123682	0.061772699	0.04516129	-95.32258065	-0.673739645	255	169	110	189	131	186	202	258	0.118844593								
S12S19	-1.330991194	2.560082488	-0.035963941	-0.153675739	0.01353973	0.137931034	-95.72413793	0.034711072	413	18	275	285	190	100	203	147	0.215938635								
S6S11	-1.454673046	0.962012532	0.073726239	-0.024570033	-0.057915705	-0.170224412	-95.88423645	-0.295973634	444	145	116	215	278	395	204	198	1								
S12S22	-0.485933504	0.672350046	0.035614774	-0.029765333	0.078831662	0.053092501	-95.92610837	0.424899992	328	173	163	220	119	172	205	95	0.045687488								
S9S26	-0.025626792	0.509814764	0.059183566	0.035066872	0.112925757	0.09054505	-96.4172043	-0.341569055	199	188	134	186	89	133	206	205	0.030793887								
S5S24	-0.279996197	-2.155928992	-0.000581293	-0.107858076	-0.042299037	0.037219485	-96.66502463	-0.403706469	283	395	216	266	262	196	207	215	0.142741748								
S17S20	-0.076987604	2.264290484	0.141388511	0.433117283	0.115159487	-0.04729064	-97.11264368	-0.112439114	229	58	73	77	87	282	208	168	0.202654308								
S10S7	-1.491047725	-2.591936077	0.025455045	-0.04273729	-0.073931782	-0.212458287	-97.53333333	-0.513122528	451	424	183	226	296	427	209	234	1								
S3S3	0.287725384	2.466924224	-0.017988789	0.086342797	0.032294442	0.144827586	-97.67586207	-0.650242075	105	29	246	159	161	96	210	250	0.098378737								
S11S14	-0.472274732	-4.605170186	-0.305093128	-0.766045202	-0.043690671	0.19047619	-97.71428571	-0.038873435	322	466	410	403	264	65	211	157	1								
S24	1.708434221	0.752718235	0.074154523	0.086989689	0.120082274	0.13948832	-97.79354839	-1.05701279	4	166	115	158	83	99	212	319	0.330625237								
S8S17	-0.231135947	0.880744782	-0.045658472	-0.264816085	-0.025930321	0.03667214	-97.97783251	-0.309881986	268	158	288	317	240	199	213	201	0.408899674								
S12	-1.298481638	2.57029394	-0.012864791	0.057165957	-0.093041368	-0.173382173	-98	-1.050466816	399	14	236	171	315	398	214	316	1								
S11S9	-0.325976925	2.267712151	0.08517896	0.023189658	0.121309115	0.249084249	-98.22751323	0.323067365	295	57	102	194	82	39	215	109	0.039800814								
S5S27	-1.172231232	-4.605170186	0.385148485	0.94086151	0.014594269	0.043345543	-98.38095238	-0.180672889	367	466	30	43	187	188	216	181	0.04092453								
S7S3	1.347180167	1.176495166	0.348890306	0.967037899	0.038678383	0.156540777	-98.6182266	-1.268244529	40	131	44	40	153	85	217	347	0.366649747								
S12S23	-0.567094627	2.609401558	0.009966119	-0.069241478	-0.024052992	-0.164750958	-98.67980296	-0.74038303	338	13	202	245	237	388	218	263	0.842189003								
S9S4	-1.619928625	-1.880457622	-0.031544952	-0.195460747	-0.113128525	-0.135741653	-98.8546798	0.045907776	469	371	267	301	344	364	219	145	0.937280309								
S10S19	-0.877377561	-1.192525227	-0.357918309	-1.005529948	-0.176624925	-0.215725806	-99.45564516	0.287195283	342	300	430	439	408	430	220	113	1								
S8S16	-0.277084515	-1.463369701	-0.027321853	-0.262876887	-0.012175598	0.103174603	-99.52645503	-1.145341616	282	336	260	316	215	124	221	336	0.579824892								
S7S11	1.336247862	2.425284769	0.077419539	0.308965032	0.098793587	0.102564103	-99.93386243	-0.551277014	43	35	111	96	104	125	222	237	0.071408723								
S16S16	0.027412587	1.049271148	0.008159928	0.108428683	-0.021134222	-0.012315271	-99.94482759	-1.078770397	176	137	204	152	233	250	223	324	0.466155972								
S17S25	0.030952825	0.213699433	0.00140382	-0.073107678	0.022235016	-0.048275862	-100.0043011	-0.310080885	174	200	212	249	172	283	224	202	0.207004509								
S4S5	-1.709343218	-1.876795575	-0.388316089	-1.090010758	-0.149105278	-0.057142857	-100.4206897	-0.18065977	479	370	444	453	382	289.5	225	180	1								
S17S24	-0.140359036	0.890656025	-0.067104592	-0.292435957	-0.0602819	-0.152836485	-100.8	-0.497649653	251	157	321	328	281	377	226	230	1								
S9S6	-1.376438664	1.83622358	0.012274267	-0.134140934	0.017028514	0.064738598	-100.8580645	-0.271994595	425	93	198	275	180	159	227	193	0.174283934								
S19	0.194250871	-1.278222889	-0.3111037	-0.871969023	-0.030263249	0.01953602	-100.8835979	-0.054457166	128	310	412	415	245	217.5	228	159	1								
S14S15	-0.261785546	2.08426473	0.367329096	0.945723465	0.108540278	0.004926108	-101.0758621	-0.476912689	279	75	36	41	93	235	229	227	0.067868518								
S5S2	-0.292164675	2.14018946	0.036440716	-0.092580874	-0.059581779	-0.180076628	-101.1305419	-0.704383447	285	72	160	260	280	404	230	261	1								
S14S13	-0.438238994	-0.610889459	-0.263747046	-0.783013451	-0.072632139	-0.161290323	-101.8236559	-0.857943808	316	243	400	405	295	386	231	286	1								
S15S30	-1.319637239	1.387066598	0.153852538	0.318897458	-0.017553075	-0.010901001	-101.8451613	-0.693083798	406	115	70	94	225	247	232	260	0.124480487								
S4S1	-1.624584086	-1.041636922	-0.405391719	-1.046120052	-0.087232048	0.130541872	-102.8942529	-0.233713516	470	284	456	447	310	104	233	187	1								
S9S8	-0.199775218	0.155442492	0.053563042	0.11191707	0.023904241	-0.133497537	-102.983908	-0.070158712	263	205	138	150	169	363	234	161	0.510573446								
S6S6	-0.239142803	2.892770797	0.026597664	0.241991174	0.057312174	-0.009157509	-103.4312169	-0.366004966	271	5	182	112	134	245	235	210	0.087148055								
S15S23	-1.576827061	-1.996249616	-0.371255237	-0.953516062	-0.135186097	-0.088765295	-103.7827957	-0.605539665	464	381	438	425	370	320	236	246	1								
S17S21	0.025874907	-1.099315172	0.053424467	0.255984172	0.099207919	-0.033990148	-105.4229885	-1.230213024	177	289	139	109	103	265	237	344	0.667746848								
S2S19	0.265244192	1.506727991	-0.043152133	0.155869224	-0.016241226	0.093659622	-105.6645161	-0.859721284	108	110	283	136	223	128	238	288	0.229940842								
S7S27	1.665396341	-4.605170186	-0.054578995	-0.049164567	-0.013466653	-0.045787546	-105.8809524	-0.5978572	8	466	306	232	217	279	239	245	0.330818471								
S10S17	-1.037040458	-1.040490443	-0.289543677	-0.765083615	-0.154871293	-0.13266129	-106.0302419	-1.405887713	348	283	404	401	387	361	240	362	1								
S3S2	1.208514253	2.497643177	0.027796945	0.16681895	0.174705575	0.308866995	-106.6666667	-0.658925175	64	25	179	134	45	23	241	255	0.110790437								
S13S30	-1.422291383	-0.793168558	-0.222409006	-0.759115821	-0.237050754	-0.334554335	-106.8201058	-2.188032796	435	260	394	400	456	483	242	434	1								
S16S3	1.349692288	0.37972701	0.071192254	0.332558995	0.105379088	0.033990148	-107.4206897	-0.866485981	39	193	121	90	97	205	243	291	0.244691636								
S10S5	-1.71744114	-0.922383956	-0.132328985	-0.640898615	-0.20889539	-0.273387097	-108.3205645	-0.894444834	480	272	376	395	437	464	244	296	1								
S2S17	0.308732394	-1.370548331	-0.074137478	-0.097793986	0.00192842	0.122135706	-108.3225806	-0.993808764	101	325	326	263	197	108	245	309	0.483689647								
S15S22	-0.389471058	-1.930649727	-0.062090425	-0.33399054	-0.094595045	-0.008374384	-108.8505747	0.124276907	303	376	313	342	317	244	246	138	0.644789309								
S10S23	-1.132686981	-0.655625364	-0.064243732	-0.128182504	-0.1935096	-0.301446051	-109.0580645	-0.384395929	360	251	318	273	429	476	247	214	1								
S6S16	-0.05958155	0.011026074	0.480124069	1.379467958	0.087382998	0.021893815	-109.2167488	-0.818562885	218	210	10	6	111	214	248	279	0.034660292								
S7S9	1.227789354	1.236528062	-0.023185158	0.026038965	-0.002639525	0.06622879	-109.4359606	-1.556112673	61	125	252	192	205	157	249	374	0.702718163								
S13S26	1.163554601	-0.721585492	-0.453635061	-1.28913662	-0.230669492	-0.179087875	-109.5763441	-0.642639398	73	256	474	481	449	403	250	249	1								
S13S27	1.275473989	-0.818021692	-0.431297146	-1.26771047	-0.188106514	-0.166629588	-109.5849462	-0.384320663	52	264	465	479	422	391	251	213	1								
S15S6	-0.198122591	1.941195604	0.461226916	1.114341101	0.112843999	0.044334975	-109.9517241	0.498449919	261	87	13	24	90	187	252	86	0.07137986								
S15S4	-0.097637746	2.787383539	0.072538296	-0.02312375	0.057943653	-0.007881773	-110.2827586	-0.133994481	240	7	117	214	132	241	253	174	0.105677935								
S7S15	1.477306968	2.910858749	-0.024022025	0.049396547	-0.014764211	0.021978022	-110.3571429	0.034100954	20	3	254	177	222	213	254	148	0.108209027								
S4S21	-1.602107848	-4.605170186	-0.37798485	-0.97579591	-0.295474122	-0.305966065	-110.8054187	-0.466233456	465	466	442	431	477	478	255	224	1								
S14S11	-1.156180549	-1.647851371	0.247350414	0.684305964	-0.105434822	-0.25270936	-111.0597701	-0.673689135	364	354	64	63	334	451	256	257	1								
S6S2	-0.402986503	2.097099607	0.01325845	-0.060506849	0.033645021	-0.083028083	-111.1322751	0.095720573	307	74	195	241	158	314	257	142	0.386223842								
S6	0.232870461	-0.935008659	-0.291760673	-0.7654566	0.006589548	-0.088669951	-111.2955665	0.02962999	119	274	405	402	194	319	258	149	1								
S8S15	-1.252275073	0.721034025	0.072139289	0.184130869	-0.076272954	-0.115995116	-111.473545	-0.563834035	382	168	118	127	299	349	259	239	0.728138095								
S17S13	-0.197443314	0.956797517	-0.044927936	-0.211532868	-0.096620678	-0.274384236	-112.6505747	-0.374182662	260	147	287	305	320	466	260	212	1								
S13S15	0.083781018	-4.605170186	-0.113606821	-0.33360563	-0.098137496	-0.098290598	-115.4021164	-0.775350285	153	466	363	341	321	339	261	269	0.921936356								
S12S24	-0.319439182	-0.923286501	0.319464944	0.877728591	0.038369756	-0.157635468	-115.4285714	-1.663955222	292	273	52	53	154	383	262	389	0.768039225								
S15S7	1.136341085	0.197176943	0.525915197	1.363039798	0.25183092	0.254679803	-115.4666667	-0.08066627	76	202	4	7	21	38	263	163	0.002732687								
S11S10	-1.199413995	1.5123604	0.028524264	0.045260526	-0.047237621	-0.075533662	-115.9162562	-0.794993863	373	109	175	179	266	303	264	272	0.311829331								
S17S1	0.064724012	0.547139996	0.337127969	0.94330065	0.078208291	-0.159605911	-115.9770115	-0.684608818	160	184	47	42	120	385	265	259	0.624606356								
S14S22	-1.116286379	-2.624270672	0.252511525	0.732200715	-0.127853929	-0.225123153	-116.1195402	-0.835763235	356	428	63	60	364	439	266	282	1								
S11S26	-0.395410083	-4.605170186	-0.02332483	-0.346635967	-0.01723735	0.010989011	-116.1957672	0.082351382	306	466	253	344	224	224	267	143	0.667746848								
S5S26	-0.107610552	2.346163748	0.305785019	0.812677287	0.025997312	0.162393162	-116.2566138	-0.082776627	242	45	54	56	166	84	268	164	0.109001218								
S14S17	1.198676749	-4.605170186	0.022317409	0.098810543	0.041320186	-0.200985222	-116.462069	-0.185481767	66	466	188	155	151	418	269	182	0.908960312								
S4S4	0.002663876	-4.605170186	-0.390171575	-0.981669741	-0.029370735	0.053694581	-116.5494253	-0.831153541	183	466	448	433	244	171	270	280	1								
S8S21	-1.611373959	-4.605170186	-0.350668403	-0.951583705	-0.117960674	0.050671551	-116.5661376	-1.505434204	467	466	427	424	351	176	271	368	1								
S7S4	1.232107403	1.169883868	0.324287646	0.928659086	0.066583943	0.176792556	-117.3694581	-0.611456008	60	133	51	46	128	73	272	247	0.163182888								
S13S28	-0.473922684	2.464525729	0.406815041	1.134632962	0.057277633	-0.042124542	-117.6322751	-0.656858082	323	31	24	21	135	274.5	273	254	0.172391276								
S7S2	1.461706783	-0.433150003	0.084417642	0.065720498	-0.002051488	-0.054187192	-117.7167488	-0.460844445	23	228	103	166	204	288	274	222	0.229940842								
S3	0.236791547	-1.067825521	-0.35285072	-1.02826844	-0.13205748	-0.116584565	-118.1206897	-0.808984372	118	287	428	444	368	351	275	277	1								
S6S17	-1.407556144	0.954721421	0.02296815	-0.028379604	-0.041459175	-0.024083196	-118.135468	-0.801157702	430	149	187	217	259	259	276	276	0.178121229								
S12S25	-0.430319704	1.756591216	0.484860655	1.229420759	0.152251316	0.128078818	-118.137931	-0.650691959	312	98	9	13	59	105	277	252	0.057629768								
S4S7	-0.074215396	-4.605170186	-0.068313774	-0.044670449	-0.051885976	-0.083743842	-118.3931034	-1.091843715	225	466	322	228	270	315	278	328	0.501769494								
S6S18	0.019514668	0.250822683	0.444436076	1.263990168	0.089150597	0.048166393	-118.4975369	-0.493037604	178	198	15	11	109	180	279	229	0.075895899								
S11S3	-0.394825964	-2.007919776	0.032905944	-0.028740109	0.081684785	0.224053724	-119.6666667	0.172892115	305	384	170	218	116	49	280	131	0.194182183								
S5S23	0.0680932	0.956327555	0.424438229	1.219886155	0.069819961	0.183251232	-119.7310345	-0.800758404	158	148	19	14	125	69	281	275	0.119143699								
S13S6	-1.325950392	-1.112833998	-0.279332801	-0.825318938	-0.180319748	-0.275314724	-120.0369458	-0.78297937	409	292	403	408	414	467	282	271	1								
S14S14	-1.365355805	-1.492736003	0.274060429	0.717522789	-0.065369148	-0.244938821	-120.0731183	-0.584623675	421	337	60	62	286	448.5	283	242	0.999137878								
S5S19	-0.198224005	-4.605170186	-0.033965989	0.006944057	-0.136775497	0	-120.2248677	-0.652607269	262	466	269	199	372	236	284	253	1								
S5S7	-1.351441031	-2.452083898	-0.177933322	-0.608942217	-0.343442071	-0.346153846	-120.6349206	-0.713960698	419	408	389	384	489	484	285	262	1								
S12S12	1.737177684	-0.596368655	0.087682991	0.50638142	0.114828123	0.055241935	-121.8729839	-1.629529015	1	240	101	74	88	169	286	382	0.62033863								
S7S22	-1.135348688	0.208276558	0.127397977	0.14743244	0.051460662	-0.041598248	-121.9187192	-0.760521715	361	201	76	140	139	273	287	266	0.2251918								
S4S18	0.056047198	-1.411651907	-0.389587352	-1.149453386	-0.12124634	-0.077339901	-122.6091954	-0.582607769	168	329	446	462	356	305	288	241	1								
S7S24	-1.74611399	2.502310833	-0.336725189	-1.129920156	-0.17674188	-0.249589491	-123.4064039	-2.327111144	483	24	422	461	409	450	289	440	1								
S13S24	-0.075535168	-1.937682757	-0.051904325	-0.307857073	-0.008066849	-0.037851038	-123.7804233	-1.169997393	228	377	298	334	211	269	290	338	0.600843536								
S12S18	-0.51805293	-2.302673067	0.488184613	1.250628836	0.204575969	0.176245211	-124.1600985	-0.797298469	334	400	8	12	34	74	291	274	0.033011321								
S3S7	0.340819764	2.708106714	-0.392002804	-1.109998373	-0.08019913	0.066963293	-124.7096774	-0.234248476	95	8	449	454	304	156	292	188	1								
S8S19	-1.327970646	-0.520105274	-0.010595023	0.096680336	-0.028158612	-0.046524357	-124.7315271	-1.023389659	411	234	231	156	242	281	293	313	0.378902278								
S23	1.436054879	-1.106083879	-0.417738709	-1.175791182	-0.153766141	0.018226601	-124.7724138	-0.276910431	24	291	460	465	386	219	294	194	1								
S4S3	1.522848571	-1.612166432	-0.044849107	-0.174038069	0.034478373	0.080295567	-126.0597701	-0.660636155	15	352	286	292	157	140	295	256	0.265578728								
S16S23	0.090849734	2.816484883	-0.406521286	-1.049498201	-0.105241172	0.14729064	-127.8068966	-1.089087008	152	6	457	448	333	94	296	325	1								
S9	0.221851311	-0.347534489	0.048846116	0.145594036	0.019761108	-0.117826618	-128.2910053	-1.122433658	122	222	143	141	178	353	297	331	0.779667487								
S17S9	-0.070018065	-4.605170186	-0.294565823	-0.793185222	-0.10989647	-0.325615764	-128.2942529	-0.992643177	223	466	407	406	338	481	298	308	1								
S16S20	-0.08767507	2.253548053	-0.375542978	-0.990078136	-0.11289075	0.046305419	-129.3701149	-0.454468028	237	62	441	434	343	183	299	221	1								
S15S13	-0.992127209	2.506639268	0.03322447	0.220611629	-0.018827973	-0.128571429	-129.7287356	-0.555948332	346	23	167	116	226	358	300	238	0.848319307								
S5S25	-0.963255342	-2.582579589	0.138625373	0.373721524	-0.035289561	0.091575092	-130.0529101	-0.875298929	343	423	75	85	253	132	301	294	0.29968166								
S9S29	-0.026279263	0.614034711	0.050089866	0.065908538	0.0744537	0.063546798	-131.508046	-0.956572505	200	180	142	165	123	162	302	302	0.305705216								
S7S6	0.268409921	0.635104486	0.427580686	1.13502931	0.055757128	0.065681445	-131.8817734	-1.755889737	107	178	17	20	137	158	303	398	0.131295875								
S12S15	1.101404494	-2.611080636	-0.11190104	-0.409425582	-0.021702397	0.208453838	-132.1397849	-0.503630213	77	427	362	361	235	56	304	231	0.906802303								
S11S6	-0.416289166	-4.605170186	-0.003253849	-0.13950466	-0.062470387	0.106732348	-132.2881773	-1.000518707	309	466	222	279	283	120	305	311	0.36460576								
S8S13	-0.466197715	1.705402345	-0.002078404	-0.075362258	-0.052148433	0.054945055	-132.2910053	-0.781793263	321	101	219	250	272	170	306	270	0.330818471								
S17S12	-0.302420857	-1.406108907	-0.271601043	-0.755741356	-0.209560538	-0.387684729	-132.4206897	-1.961973814	288	327	402	399	438	489	307	416	1								
S16S19	-0.083861349	2.407232066	-0.518708091	-1.417099674	-0.222877931	-0.09408867	-133.3057471	-0.765460302	233	37	488	485	445	330.5	308	267	1								
S8S14	-0.376934692	-1.911337961	-0.401896262	-1.175931485	-0.128297332	-0.012210012	-133.531746	-0.419295967	300	373	454	466	366	248.5	309	219	1								
S9S14	-0.008338738	-0.692139845	-0.082375238	-0.393541241	-0.067861363	0.006854839	-133.6310484	-1.248027133	188	253	335	358	291	232	310	346	0.848319307								
S12S28	-0.584042352	-2.087179684	0.308130028	0.817956743	0.054361239	0.13136289	-133.8128079	-0.101121464	340	388	53	55	138	103	311	166	0.109001218								
S14S8	-0.256590895	-2.519201745	0.262918424	0.675224638	-0.022981363	-0.086699507	-134.0390805	-1.300688037	276	416	61	64	236	318	312	354	0.793013834								
S16S24	0.060560887	2.270475297	-0.374993383	-1.013647652	-0.098751151	0.114778325	-134.2321839	0.141017828	162	55	439	440	323	113	313	135	1								
S17S14	-0.257296895	-1.345946056	-0.090242292	-0.367727888	-0.190158274	-0.347783251	-134.9126437	-0.795742008	277	318	341	351	425	485	314	273	1								
S8S9	-1.254501125	0.992566607	0.119081252	0.213277634	-0.040934262	-0.033935413	-135.7832512	-0.957745702	383	141	80	118	257	264	315	303	0.393662924								
S6S28	-1.442353845	-4.605170186	-0.013655773	-0.14665012	-0.158290044	-0.192918193	-136.494709	-0.544981159	439	466	239	282	391	413	316	236	1								
S4S25	-1.503869304	-4.605170186	-0.051199227	-0.279348682	-0.292412923	-0.281882868	-137.9064039	-1.619791583	452	466	295	323	474	470	317	380	1								
S5S11	-1.374100149	-2.766724817	-0.003104637	-0.063334406	-0.173793781	-0.059218559	-139.5026455	-1.29483138	424	431	221	242	405	292	318	352	1								
S8S7	-1.330451128	1.385504689	-0.009766945	-0.281673148	-0.123936908	-0.095785441	-139.5541872	-1.176295262	412	116	230	325	359	337	319	340	0.862636605								
S15S12	0.082935281	1.802758973	0.154449474	0.563652367	0.123352777	-0.09408867	-140.8068966	-0.992248048	154	95	69	72	79	330.5	320	307	0.33226364								
S13S2	-1.445223488	-0.987820094	-0.364076713	-1.284119473	-0.293055949	-0.39408867	-140.9753695	-1.286315688	440	280	434	480	475	490	321	351	1								
S8S4	-1.263455557	-0.166304193	-0.483548449	-1.290108178	-0.118558764	-0.026251526	-141.1269841	-1.283002613	387	214	480	482	352	260	322	349	1								
S9S10	-1.461185933	-2.224257678	0.063564287	-0.07597071	-0.035235282	-0.200492611	-142.1356322	-0.94123566	449	398	128	251	252	417	323	300	1								
S9S20	-0.134181447	0.992543824	0.107314288	0.12803461	0.063143363	-0.079310345	-142.5655172	-1.502975228	249	142	88	146	130	307	324	367	0.984594889								
S14S25	-0.059899235	-0.800008818	-0.027284408	0.039689709	-0.188480415	-0.048462567	-143.4349376	-1.637807742	219	261	259	181	423	284	325	385	1								
S11S29	-0.451524849	-1.84498948	-0.010855264	-0.351338309	-0.134485782	-0.092796093	-143.994709	-0.307838746	317	367	232	346	369	328	326	200	1								
S7S17	1.570709947	-4.605170186	-0.24354353	-0.636670094	-0.122318428	-0.092185592	-144.047619	-1.207109637	13	466	398	394	358	327	327	341	1								
S14S20	-1.322307716	1.658784089	0.27743311	0.780237284	-0.069336192	-0.259176863	-144.0903226	-1.067923964	407	102	59	57	293	454	328	320	0.920220515								
S10S11	-1.838748947	-1.659701098	-0.475742014	-1.188975678	-0.174514508	-0.094104561	-144.6236559	-0.837747703	491	356	479	470	406	332	329	283	1								
S6S9	0.256571429	1.751523742	0.091036868	0.339370273	0.101448985	0.107827039	-144.8891626	-0.835102512	111	99	99	89	101	119	330	281	0.19517107								
S16S26	-0.014856082	2.557569256	-0.345805386	-0.945104349	-0.128087307	0.051231527	-145.5931034	-1.401675761	191	19	424	422	365	174	331	361	1								
