	SScmap	SSfisher	SSlincs	SSlincs_Norm	SSpearson_corr	SSspearman_corr	SSzhang	SSzhang_Norm	Rank	Rank	Rank	Rank	Rank	Rank	Rank	Rank	sumrank								
S3S6	1.18610716	2.035897886	0.095470668	0.362442359	0.33755419	0.407224959	-1.551724138	1.043961717	69	80	95	86	7	3	40	44	0.000296212								
S3S9	1.259450824	2.384336486	0.094501465	0.404308082	0.295605863	0.376026273	-2.342364532	0.620580763	54	42	96	81	10	6	41	74	0.00031542								
S2S6	0.419855321	1.649606547	0.108576612	0.315215051	0.164037588	0.303448276	-2.48045977	0.290735094	89	104	86	95	54	25	42	112	0.00079537								
S6S1	0.453216929	-4.605170186	0.072012579	0.275734134	0.208243585	0.293650794	-2.669312169	0.470725319	88	466	119	103	31	30	43	88	0.001144308								
S3S27	1.234637048	0.644531192	0.02791834	0.094341184	0.165956198	0.246305419	-3.671264368	1.245797805	59	175	178	157	53	40	44	27	0.009816578								
S3S14	-1.065898175	2.564235581	0.024724126	0.185843264	0.15343104	0.119868637	-3.879310345	0.723525081	351	16	185	126	57	111	45	63	0.016154427								
S17S30	-0.224051804	0.757385732	0.056683429	-0.171654586	0.014081095	-0.036707453	-4.286021505	-0.036556211	267	165	135	290	188	268	46	155	0.239689593								
S14	0.126810137	-0.62913371	-0.134780563	-0.305034975	-0.019607122	0.024420024	-5.052910053	0.25148414	144	248	378	332	230	211	47	118	1								
S11	1.191765194	-2.04349917	-0.0427957	-0.043054793	0.042835694	-0.049450549	-5.431216931	0.597338852	67	385	282	227	149	286	48	75	0.220524776								
S6S24	1.190670075	2.205033881	0.040908639	0.263560981	0.261561769	0.172161172	-6.513227513	0.437745039	68	67	155	108	18	80	49	93	0.005587935								
S12S4	-0.529950869	1.921996995	0.033493275	0.212863417	0.14014579	0.173508484	-6.911330049	1.47259994	335	89	166	119	68	76	50	19	0.008431595								
S2S24	1.359557928	2.455740387	-0.028489166	0.28768701	0.173914623	0.147235906	-7.403940887	1.035089969	36	32	262	102	47	95	51	46	0.010971225								
S7S12	1.50840057	-4.605170186	0.260824931	0.731000722	0.205791066	0.173382173	-8.67989418	1.172568882	16	466	62	61	33	77	52	33	8.39857E-05								
S15S14	-1.418835712	2.107636983	0.067563115	0.267558886	-0.03040229	-0.090147783	-8.740229885	0.75410862	434	73	123	104	246	323	53	59	0.219266644								
S2S1	0.213327666	-0.968655601	-0.00115464	0.331971818	0.069447055	0.321023359	-9.055913978	0.720348354	123	277	217	91	126	20	54	64	0.030022159								
S15S5	1.047062854	2.082570578	0.464000363	1.448943671	0.374563742	0.324137931	-9.836781609	1.295706342	83	76	12	4	3	16	55	22	5.95183E-06								
S12S7	-0.150267832	-0.424482443	0.103218582	0.417554233	0.196681476	0.20470717	-9.844827586	0.659650386	253	226	91	79	39	60	56	67	0.000228828								
S6S5	-0.249689322	-4.605170186	0.074172083	0.235872318	0.16146139	0.094627595	-12.16402116	1.075584813	275	466	114	114	55	127	57	39	0.001690766								
S9S3	-0.271050898	-4.605170186	0.065898977	0.034789	0.03267731	-0.081280788	-12.62068966	1.969946291	281	466	125	187	160	311.5	58	10	0.188066841								
S5S12	-0.081143076	-4.605170186	0.037452741	0.202418803	-0.012244294	0.007326007	-12.94973545	1.159430523	230	466	159	123	216	231	59	34	0.061225603								
S6S26	0.303786657	2.292507104	-0.00045459	0.122084876	0.131579165	0.071428571	-14.47883598	-0.132068716	103	52	215	147	74	148	60	173	0.039800814								
S2S8	0.454794004	-0.962220823	-0.117024162	-0.136810168	0.047990992	0.276084538	-16.25376344	0.944061397	87	276	369	277	144	32	61	49	0.167318689								
S3S22	-0.195377358	-1.360251371	-0.080776242	-0.015034388	0.015215421	-0.012588944	-16.94581281	1.238434049	258	322	333	210	184	251	62	28	0.549447994								
S16S27	0.091615197	-3.297736145	-0.136340073	-0.320019605	-0.05656149	0.095238095	-18.38669951	0.454316204	151	433	380	339	274	126	63	91	1								
S2S26	1.469986745	1.891936552	0.065708231	0.300676966	0.291158011	0.321291735	-19.74876847	0.338214751	22	90	126	99	12	19	64	105	0.001612443								
S15S28	0.240888223	0.324456716	0.122895587	0.576585858	0.0381205	0.078976641	-20.41505376	-0.109867422	115	196	78	69	155	141.5	65	167	0.008740978								
S15S2	1.250574284	2.063165039	0.556749251	1.578006283	0.253920911	0.30189099	-20.69892473	1.102962639	56	78	1	1	20	27	66	38	3.33062E-05								
S3S17	1.356001023	-4.605170186	0.417328659	1.164462869	0.267342475	0.296661193	-21.84482759	1.040830614	38	466	22	16	16	28	67	45	3.6451E-05								
