BPIFB1	1.0
ANK3	0.6945787545113111
NRP1	1.0
TP53INP1	1.0
RERG	-0.6717142233387483
TYMS	-1.0
MUC5AC	1.0
TBX6	0.6287624931747229
RAPGEFL1	-1.0
SYBU	1.0
CTDSP2	0.819458694264623
JARID2	-1.0
ST3GAL1	1.0
BTG1	0.8873887679850273
FBN1	1.0
RHCG	1.0
XBP1	-1.0
STX3	1.0
SYT12	-1.0
APOLD1	1.0
BAALC	1.0
WLS	1.0
MPZL2	1.0
SLC26A2	1.0
ARMCX2	1.0
LNX2	0.8063674358811899
TUBA1B	-1.0
PSCA	0.9715498532770152
PTP4A1	1.0
FAM107B	1.0
ABHD5	0.5795467175586178
CDC42BPB	0.3248284684095741
SRSF3	-1.0
PALLD	1.0
ZMYM3	-0.5822926987613654
NUDT4	1.0
C2CD4A	1.0
LXN	0.9664885012584746
ANKRD40	0.2874607726769511
CTNND2	1.0
CELSR2	-0.5609447506287573
FOXN3	0.9003403581244941
SRSF7	-1.0
ATXN2	0.518208916487995
BOD1	-0.6600496257582297
CYP1B1	-1.0
TGFBI	1.0
ARRB1	1.0
PTPN21	0.943608535878374
AUP1	0.6674436655977852
SAT1	1.0
HDAC2	-0.3583222933846678
EFCAB14	0.5553452653771517
PCNA	-1.0
SC5D	1.0
AHR	1.0
FAM102B	0.8447896659915208
ARG2	1.0
PLEKHM3	0.4902398040606459
FNBP1	0.7431809600363087
DAB2	1.0
EIF2S3	-0.6239908847194681
NPM1	-0.5431909924317556
MBTPS1	0.5259637506264541
KIFC3	0.9898807354169477
WDR26	0.3271886911969766
ALCAM	0.8949327772671182
SYNJ2BP	0.3003766818841358
ATP6V1D	0.4734996203578633
ERMAP	0.67107462449971
ROBO1	0.9692097927609072
NR4A1	1.0
NAB2	-0.917702924250662
LY6E	-0.7975653545378022
DARS2	-0.9423852663596476
KRT18	-0.6814766847832545
CDYL	1.0
OSR2	1.0
MEAF6	0.8032198094558816
PARD3	0.4943713185002256
IRF6	0.895773662152459
KLHL24	1.0
AARS	0.5771020710560646
AHSA1	-0.5686571844455732
MYB	-1.0
MED12	0.4553796733182734
SH3BP4	0.8945745184154761
RUBCN	0.4880103688314889
SIPA1L2	0.5527918538127106
EGR3	-1.0
GBP2	1.0
CEACAM6	1.0
LYPD6	-0.5353608466737418
RFTN1	1.0
KHNYN	0.5449666650934487
OTUD7B	0.7937622694456958
MAOA	1.0
DUSP4	0.7457796578222445
IDI1	0.5606152397553437
KANSL3	0.5221566986628355
ADIPOR1	0.4761378752139211
KNDC1	-1.0
PPP4R3A	0.4781920375189809
CHD2	1.0
MAP3K21	0.5329430019365456
C22orf46	-0.6796816640369332
LIG1	-1.0
URGCP	0.2370068761022628
ZBTB10	1.0
ATP8A1	1.0
ERBB3	0.8467718974361022
UNG	-1.0
LITAF	1.0
NADK	0.802339100155629
ZNF551	-1.0
SH2D3A	1.0
EPHA3	1.0
MID2	1.0
PHF8	0.7533624280943289
DCAF11	0.5609402374309753
ARHGAP5	0.8120890559206098
MYLIP	1.0
SLC20A1	-0.7530472515647312
CRAMP1	0.7174807042637731
GINS2	-1.0
HNRNPAB	-0.7767815738493898
LAMB3	1.0
PARM1	1.0
PPM1A	0.6175766895269232
ZMYND11	0.2643560068214344
TSPAN5	0.3434831834994228
DNMBP	-1.0
FNIP1	0.6481876784396966
RDX	0.5111296388476693
S1PR3	1.0
KDM6B	0.9029040622324548
SLC38A2	0.7745134139060581
CREG2	1.0
TAOK3	0.4871956571365545
CEACAM5	1.0
PPM1D	1.0
TUFT1	0.8880874018708841
KIAA0319L	0.68191502018433
GREB1	-0.6846164839060366
MSX2	-1.0
RB1CC1	0.9790441502841734
NTN4	1.0
RRM1	-0.9272504784002517
TMEM39A	0.5878148608880697
KIF20A	0.7199233935670049
ABHD4	1.0
RAD54B	-0.7759359477816078
ABCA12	-1.0
