	SScmap	SSfisher	SSlincs	SSlincs_Norm	SSpearson_corr	SSspearman_corr	SSzhang	SSzhang_Norm
S1.txt	0.155986565910999	1.9406549652042349	-0.15993551939210224	-0.6342856034781177	-0.19294632850188942	-0.2778009951303073	-213.6689655172414	-1.9786144788606044

S10.txt	1.32351028510798	-1.1293083186970923	-0.08209955199485605	-0.15758603898580376	-0.04937210031150209	-0.08796580749419365	-91.96296296296296	-0.14969809487513067

S10S1.txt	-1.80793591654247	-0.6026438856873297	-0.14543307432895702	-0.5549419009645855	-0.23121575446871753	-0.2100224019365399	-171.0774193548387	-1.2220433378190318

S10S10.txt	-1.79253228523302	-0.011319445740605213	-0.4034251931681908	-1.0306434853518505	-0.18892270145896864	-0.16115750964981237	-240.86236559139786	-3.2675983473226236

S10S11.txt	-1.84904953647345	-0.06535783957980577	-0.06361161500186147	-0.3126782735489255	-0.1634782920245978	-0.10825267060927897	-146.50537634408602	-1.875701870495607

S10S12.txt	-1.87090487238979	-0.6539355421554018	-0.3742306313551027	-1.0723562549831083	-0.3070396221428956	-0.26329849036364883	-226.09677419354838	-1.8791457598595604

S10S13.txt	-1.86556272803817	-0.7245433698314963	-0.12152619853906715	-0.4064954358025026	-0.24250629023214962	-0.29267752732730196	-204.68172043010753	-2.334650448464792

S10S14.txt	-1.12996206162672	-1.0303677457127458	-0.03277635892089939	0.002547022982320679	-0.1787945781755728	-0.17463848720800887	-93.60860215053764	-0.5001699099458814

S10S15.txt	-1.10064754856614	-0.9756326311924066	-0.013280564267320327	0.025921612812133787	-0.16171751885965985	-0.10433815350389322	-89.69462365591397	-0.12396853709077038

S10S16.txt	-1.50350004605324	-0.802338188863333	-0.12801581657147892	-0.5192545140401408	-0.3214281310758012	-0.28911290322580646	-236.27217741935485	-3.223974047313056

S10S17.txt	-1.0473859227785	-1.1498982488042846	0.0015904907638086552	0.09130335071008716	-0.14006265014626815	-0.12056451612903227	-103.01814516129032	-0.9245595119070716

S10S18.txt	-1.01033210332103	-1.0283837076256677	-0.07393967817516248	-0.316062843811319	-0.20386126013240277	-0.23648498331479423	-64.45591397849462	-0.5945593110380992

S10S19.txt	-0.885463567031149	-0.896817345137656	-0.3049642402915651	-0.8709330528438051	-0.20013073598522738	-0.1975806451612903	-100.52217741935483	-0.5280502922662184

S10S2.txt	-1.75643907464644	-0.5971480346068565	-0.047668782272999116	-0.409009493677326	-0.20036089776020366	-0.010925713402872881	-187.78024193548387	-2.3376813240352377

S10S20.txt	-0.248363602839495	-1.1004867881049107	0.01096775788280055	0.14021517717281795	-0.06478372809588284	-0.016242073746072047	-59.11827956989247	0.5562568828930753

S10S21.txt	-0.977761327534623	-1.33449995281561	-0.017610057208202273	0.04620441139832798	-0.12369974780541275	-0.1604004449388209	-46.159139784946234	0.15155148294334128

S10S22.txt	-1.30106190344658	-0.8869695306954312	-0.2703910262614758	-0.8090255529049689	-0.21194256584111715	-0.16395995550611792	-189.09462365591398	-1.6208809163927307

S10S23.txt	-1.1460757156048	-1.60426690522287	-0.2579321079208569	-0.6655376129354273	-0.18398980000558116	-0.2711902113459399	-111.4989247311828	-1.0102917253802384

S10S24.txt	-1.15862897265336	-1.2321262214187902	-0.01938734343619633	0.014762727822809019	-0.12224883671015763	-0.11290322580645162	-41.79838709677419	1.0018194400501765

S10S25.txt	-0.974004986610029	-0.9297313833495561	-0.006541891700938857	-0.09148392372817177	-0.14325349355758346	-0.11946607341490545	-70.06236559139785	-0.6014099413901117

S10S26.txt	-1.57761566164928	1.5561939563119176	-0.05314960010222436	-0.49105258804477003	-0.26551654922969914	-0.23205047964884182	-168.8655303030303	-2.1088414396432675

S10S27.txt	-1.60244082840237	1.1168044393904548	-0.06984074863399037	-0.5022451538239482	-0.20475148820289285	-0.20339253661127565	-176.3598484848485	-2.3678286946646536

S10S28.txt	-1.78698279869828	0.5962336794576365	-0.0569951270388519	-0.36864727053413426	-0.19673663136737102	-0.016881352044105968	-244.55614973262033	-3.8106183101815465

S10S29.txt	-1.79975784669833	-1.896101248651809	-0.18272929055752665	-0.7566192840916595	-0.28658463183445654	-0.12895584947583658	-232.8508064516129	-3.420042920747188

S10S3.txt	-1.23554366872637	1.2969429749327972	0.03475137280736734	-0.09867479857088057	-0.16491423022292612	-0.21423804226918797	-147.94623655913978	-1.189717768109003

S10S30.txt	-0.222590444628556	1.095403515323752	-0.10096065121682624	-0.5225330283474154	-0.3561048828714361	-0.19174657133770087	-249.41344537815127	-4.603570086433994

S10S4.txt	-1.93136338133533	-0.37344106560014134	-0.1542227199184443	-0.7011128539232916	-0.291029478078502	-0.16301965877134061	-204.50806451612902	-2.871803889722828

S10S5.txt	-1.73361214374226	-0.6948317627450034	-0.08552278041377875	-0.4353579316842262	-0.2092877046897083	-0.2635313669971949	-99.84677419354838	-0.9375833014120287

S10S6.txt	-0.192763219248345	-0.14941871784098434	-0.5524282051995765	-1.5364663767042677	-0.2579367747068249	-0.06343201162606925	-177.2774193548387	-3.3494862887201218

S10S7.txt	-1.49827128480583	-2.5893819993000093	-0.054800757137124595	-0.36138168678144117	-0.1841593002077878	-0.19875363642835028	-94.5247311827957	-0.2175489787418727

S10S8.txt	-1.90484639088617	-0.38332612315018844	-0.10619450567004007	-0.48992933966280094	-0.24719004288253388	-0.14545484227117783	-154.79435483870967	-1.3168205777072928

S10S9.txt	-0.0841556507168125	0.8091313748863652	0.04150011841775303	-0.12559082233690644	-0.10560617892547747	-0.18067892719936077	-172.43951612903226	-2.3145501376772635

S11.txt	1.21157436216553	-0.9028340470351698	-0.04772170547019605	-0.12045215647880769	0.043727642334366726	-0.04976339548132386	-6.902116402116402	0.9899683681768938

S11S1.txt	-0.498964803312629	-0.908816923115265	0.005486890679781586	-0.15143111282993427	-0.0075621157247823916	0.03914055052392109	-101.95566502463055	-0.9734273448021787

S11S10.txt	-1.19038889411175	2.140764758536493	-0.01736027799072684	-0.25675604090656445	-0.12467349126700733	-0.06960817715801831	-124.43596059113301	-1.3314654175561802

S11S11.txt	-1.30940339046549	1.865147492381098	-0.003676089803036353	-0.1110112176375736	-0.2208555033332883	-0.18171866447728516	-166.6576354679803	-1.9712077214203323

S11S12.txt	-0.395939405368031	-2.405925072587645	-0.04987356774657367	-0.33159075273039806	-0.19663504247731683	-0.019704433497536946	-203.15024630541873	-3.5118950982576975

S11S13.txt	-0.356307864958384	-2.2266484463532557	-0.04528768175422554	-0.2471825063744243	-0.11070372394422892	0.05530881057428706	-171.00459770114944	-2.726572509762464

S11S14.txt	-0.469628229363579	1.7524723131691644	-0.2823493308984944	-0.7648048413213546	0.0029129943775583894	0.18681318681318682	-97.07936507936508	-0.3633029398846689

S11S15.txt	-0.51395545531435	1.521303948182597	0.010981262794539814	-0.2360498386823815	-0.05631275008300351	0.011295985477355722	-193.06349206349208	-1.1059670076290922

S11S16.txt	-1.28726528571875	-2.530797720517005	-0.059567310929045963	-0.3616720473702465	-0.2527966567683328	-0.22362312031867304	-183.32019704433498	-1.587276860802664

S11S17.txt	-0.472682223058587	-2.5003941447282525	-0.007593659081660986	-0.28498881881476434	-0.14979908346698495	-0.02409638915560544	-210.08128078817734	-1.6154757154105523

S11S18.txt	-1.26690764560448	-2.6302848534725056	0.02853147791437674	-0.08356735488463185	-0.15912214147751258	-0.14950714180637012	-150.80295566502463	-1.4878683359266875

S11S19.txt	-0.577746478873239	1.5152668336905148	-0.15123668607767596	-0.6406667971873867	-0.15539855244246348	-0.02030743102155677	-184.82758620689654	-1.5904192790759597

S11S2.txt	-1.27175418713008	-2.5723777785440864	-0.0633176980768336	-0.37396091465542447	-0.16202222878237474	-0.01038009476297553	-167.8042328042328	-0.8034310372690228

S11S20.txt	-0.540515045750401	-0.8022100132888468	-0.37218405519037545	-1.1373358657234067	-0.1459261993960431	-0.09529629145204313	-169.61904761904762	-2.353308892136233

S11S21.txt	-0.495908962663406	0.9184678424634547	0.009004063145602148	-0.14649004623028017	-0.05615661501431071	0.007125246480742034	-228.60098522167488	-1.6873225041967916

S11S22.txt	-0.506593820648078	-0.9358235167542358	-0.04935995766849155	-0.30209733676549855	0.06073467420257046	0.08244955744589336	-61.66096866096866	0.5075213816026966

S11S23.txt	-1.27924387048475	-0.8971352818449341	-0.07172353348386168	-0.34221178567134664	-0.17715848942203347	0.0677423333134425	-153.01379310344828	-1.8608095621259308

S11S24.txt	-1.26619718309859	-0.728744348129259	-0.08280664979821689	-0.37930472970586715	-0.0838843187229753	0.03946290358564818	-178.20443349753694	-1.4344996923695104

S11S25.txt	-1.25305853566723	1.4565160008302036	-0.08930398869821007	-0.4762007711887293	-0.1615281242615544	-0.018235586246297505	-165.00689655172414	-0.7441881415463997

S11S26.txt	-0.398419864559819	1.1484835825215076	-0.014965892424021965	-0.27503926413600244	-0.0068678526110117835	0.01038009476297553	-116.8068783068783	0.11940898603384961

S11S27.txt	-1.31673232039017	-2.608812856597062	-0.09118513392106459	-0.44635377545071203	-0.2680197609837859	-0.24698798884495576	-170.11822660098522	-1.589606985999447

S11S28.txt	-1.34304722638681	1.6893316932927234	-0.061323200638142394	-0.29378821771212493	-0.22209280857942437	-0.2004381461579907	-203.55418719211823	-1.85954675151108

S11S29.txt	-0.453219126506024	-2.411016927542962	-0.005614545357441381	-0.07855816495526302	-0.12372602765115323	-0.08712942004338232	-143.16137566137567	-1.9023658189827457

S11S3.txt	-0.394543744120414	0.6049000664388223	0.04345990666956226	0.02251090927734145	0.090589500311769	0.22466422466422467	-119.83862433862434	-1.1444434694631704

S11S30.txt	-0.273702031602709	1.4660968386569695	-0.06160742834359903	-0.2765553879855864	-0.057200137819309785	0.07936507936507936	-170.6206896551724	-0.4162965169835788

S11S4.txt	-0.491242937853107	-2.5344602831440057	0.0030419699688288837	-0.18162803733561794	-0.0663655471060435	-0.003284072249589491	-164.40886699507388	-1.7828510979167607

S11S5.txt	-1.63700366094058	1.2013752907311577	-0.004107965229714572	-0.2123479967618903	-0.2228505165631288	-0.23600527943971386	-249.67241379310346	-2.2150796634496763

S11S6.txt	-0.422234805587014	2.588124147812808	-0.06354416102666496	-0.33024560625278443	-0.11128097143816802	0.0629447181171319	-141.26108374384236	-1.0354788584318753

S11S7.txt	0.0819677277578954	-0.8934041117856036	-0.3592594595157798	-0.9154643362158874	-0.23591025581763048	-0.027472527472527472	-195.84126984126985	-3.20652848448299

S11S8.txt	-0.324853966459393	1.3271987675694163	0.011642295554034482	-0.08714522673307001	0.012385626451952979	0.15356434311107917	-159.54232804232805	-1.52317302477164

