	SScmap	SSfisher	SSlincs	SSlincs_Norm	SSpearson_corr	SSspearman_corr	SSzhang	SSzhang_Norm
drug_1.txt	-0.0498678693745249	-0.7421496040913291	-0.007901351652746816	0.0	-0.062349627749773734	-0.009709704817538026	3.2884652224737376	-7.252590241850643

drug_10.txt	-0.0216320540833772	-0.9806519581194841	-0.23787365017302978	-0.778170985355659	-0.08372473537183957	-0.04499311393180229	3.023123116078864	-10.122124549867427

drug_100.txt	-0.029170746045434	-1.16409704268072	-0.06758373004486465	-0.13500613562629066	-0.06509328260917248	-0.08235088995709429	2.3272637352756047	-9.400929267206791

drug_101.txt	-0.0579968076054932	-1.2304289304886453	-0.06392403481882125	-0.11198499117506405	-0.06668940685003424	-0.017396850304454734	3.486336073937674	-6.84037695492309

drug_102.txt	-0.00895258843336721	-1.325239091018851	-0.07752076789554205	-0.14617123726905062	-0.05874261660617261	-0.07553390601707093	5.526098294257242	-2.341930157814825

drug_103.txt	-0.0476212393196074	-1.2408527747502682	-0.07788626546978664	-0.14027987979695322	-0.06406579179823903	-0.04658924115297119	1.547776826450546	-13.342891152502878

drug_104.txt	0.138395869399364	1.3606379260646873	-0.054712409816966345	-0.09821402579013566	-0.03699672149795274	-0.074538408178932	5.274435752180559	-4.8719541321756274

drug_105.txt	-0.00283107136137462	1.3670672036093134	-0.060913309986349834	-0.10503595047466757	-0.044069414565112604	0.058625417509181384	1.437108799255619	-7.463154404666299

drug_106.txt	-0.0304984386720936	-1.1199380503697665	-0.12734799609154196	-0.23743018731019983	-0.07656136334778682	-0.13746025878240575	3.2223369027652344	-6.288670923768785

drug_107.txt	-0.0167748377433848	-0.3577624604292162	-0.3212214880069504	-0.9041068078067782	-0.1253323445414862	-0.20794328107019266	-0.6296939202370759	-10.8914108907422

drug_108.txt	-0.0475287069395907	-0.4053535660476624	-0.331770039763876	-0.88224402644628	-0.13053705420215053	-0.20515565998449695	-0.9800025803122178	-11.338724138357595

drug_109.txt	-0.00402296987419304	-0.42938204103885314	-0.3129150850016422	-0.8611136889215214	-0.08752617488664095	-0.2062918527869551	-0.24668566714754303	-12.311016167847773

drug_11.txt	-1.82544253554428	0.9643479964754742	-0.2478518459824166	-0.792632488247889	-0.07529978517459184	-0.03538546384579483	3.556686722729814	-8.092351358164501

drug_110.txt	-0.0269096355466799	-0.7910113871940159	-0.12244447651334762	-0.240250441891223	-0.17513029585808465	-0.17845816383088492	0.8027800909364579	-12.018338503839624

drug_111.txt	-0.075035751354372	-0.7344582937308523	-0.09944636149999474	-0.19200472161448956	-0.13932748433352654	-0.16756376306619516	0.9077616573423566	-10.350172176323563

drug_112.txt	0.0147987974747835	-0.658864376716084	-0.1102836349558757	-0.23463124583165432	-0.1180243396260859	-0.1926362255464276	0.7677152117224366	-8.38695109860789

drug_113.txt	-0.0500893681123338	-0.6364432752777667	-0.10798545522357425	-0.20338199954520786	-0.1334071320898824	-0.1831934280646877	0.7277125532189395	-13.20616765589611

drug_114.txt	-0.0414378432351472	-0.8533681641080597	-0.10414448092356912	-0.20605992033628862	-0.14156499000432837	-0.15402405167146924	1.2524972339834939	-9.263426759768045

drug_115.txt	0.0242346437054376	-0.6866036188526892	-0.10756039399875307	-0.21336165508431673	-0.130054356373765	-0.1717238037467913	0.30527439274697693	-13.097506525019147

drug_116.txt	-0.0630392439509749	-0.7676206631534221	-0.11131383722361629	-0.22603303485866608	-0.1716052510725548	-0.20845150824491238	2.7024821821622234	-7.781785642610746

drug_117.txt	-0.0240122865515763	1.1261151671919873	-0.08440232887209367	-0.16971158885550508	-0.1076602094886662	-0.0823683605781842	5.488705269701271	-3.58069255071101

drug_118.txt	-0.0905979059579645	-1.1894655922325388	-0.06608198740546317	-0.13251461564235434	-0.1178614893493894	-0.051556832062008257	6.127377503587025	-2.2444394471363673

